myid,RESP_RACE,pizza
2354858,1, 
2354859,1, 
2354861,4, 
2354862,4,2
2354863,4,2
2354872,1, 
2354873,1, 
2354874,1, 
2354881,1, 
2354882,1, 
2354883,1, 
2354888,1, 
2354890,4, 
2354891,4, 
2354892,4, 
2354894,1, 
2354895,1, 
2354897,2, 
2354898,2, 
2354915,2,1
2354916,2, 
2354920,4, 
2354921,4, 
2354922,4,2
2354923,4,1
2354926,4, 
2354927,4, 
2354929,1, 
2354930,4, 
2354931,1, 
2354939,4, 
2354940,4, 
2354942,1, 
2354943,1,1
2354944,1,2
2354945,1, 
2354950,1, 
2354951,1, 
2354971,1, 
2354973,1, 
2354974,1, 
2354976,1, 
2354977,1, 
2354986,1, 
2355005,1, 
2355006,1, 
2355008,1, 
2355009,1, 
2355011,2, 
2355012,2, 
2355013,2, 
2355020,1, 
2355021,1,2
2355027,1, 
2355028,1, 
2355030,4, 
2355035,1, 
2355036,1, 
2355037,1,2
2355040,1, 
2355042,1, 
2355043,1, 
2355056,1, 
2355058,1, 
2355062,1, 
2355063,2, 
2355065,1, 
2355066,1, 
2355069,1, 
2355074,1, 
2355077,1, 
2355078,1, 
2355100,1, 
2355101,1, 
2355103,1, 
2355106,1, 
2355113,1, 
2355114,1, 
2355147,2, 
2355148,4, 
2355150,1, 
2355156,1,2
2355157,1, 
2355169,1, 
2355170,1, 
2355175,1, 
2355187,1, 
2355188,1, 
2355198,1, 
2355201,2, 
2355211,2, 
2355213,1, 
2355214,1, 
2355216,1, 
2355217,1, 
2355229,1, 
2355230,1, 
2355234,1, 
2355235,1, 
2355254,1, 
2355258,1,1
2355259,1,1
2355261,1, 
2355263,1, 
2355264,1, 
2355265,4, 
2355266,1, 
2355267,1, 
2355268,1, 
2355287,1, 
2355288,1, 
2355297,1, 
2355298,1, 
2355299,1, 
2355300,1, 
2355302,1, 
2355304,2, 
2355305,2, 
2355309,1,1
2355310,1,1
2355311,1, 
2355314,1, 
2355315,1, 
2355324,1, 
2355325,1, 
2355327,1, 
2355330,1, 
2355331,1, 
2355337,1, 
2355349,1,2
2355350,1, 
2355352,2, 
2355353,2, 
2355357,1, 
2355362,1, 
2355363,1, 
2355366,2, 
2355367,2, 
2355368,2, 
2355369,2, 
2355394,1, 
2355395,1, 
2355401,1, 
2355419,3, 
2355428,4, 
2355429,1, 
2355430,1, 
2355432,4, 
2355433,4, 
2355434,4, 
2355435,4, 
2355436,4, 
2355437,4,2
2355442,1, 
2355443,1, 
2355445,1, 
2355446,1, 
2355448,4,1
2355458,1, 
2355459,1, 
2355483,1, 
2355489,1, 
2355498,1, 
2355501,1, 
2355502,1, 
2355508,1,2
2355509,1, 
2355521,1, 
2355522,1, 
2355531,1, 
2355533,1, 
2355535,1, 
2355547,1, 
2355548,1, 
2355554,4, 
2355555,1, 
2355558,1, 
2355559,1, 
2355565,1, 
2355566,1, 
2355570,1, 
2355571,1, 
2355574,1, 
2355576,1, 
2355578,2, 
2355583,1, 
2355585,1, 
2355586,1, 
2355592,2, 
2355594,2, 
2355596,1, 
2355597,1, 
2355599,1, 
2355600,1, 
2355609,1, 
2355610,1, 
2355615,1, 
2355616,1, 
2355618,1, 
2355619,1, 
2355624,1, 
2355625,1, 
2355627,1, 
2355631,1, 
2355639,1, 
2355640,1, 
2355641,1, 
2355644,1, 
2355645,1, 
2355647,1, 
2355648,1, 
2355651,1, 
2355652,1, 
2355654,2, 
2355655,2, 
2355665,1, 
2355670,1, 
2355672,1, 
2355675,3, 
2355676,3, 
2355678,1, 
2355679,1, 
2355681,1, 
2355684,1, 
2355685,1, 
2355686,1, 
2355687,1, 
2355688,1, 
2355692,1, 
2355693,1, 
2355695,1, 
2355696,1, 
2355698,1, 
2355699,1, 
2355705,1, 
2355706,1, 
2355709,3, 
2355713,1, 
2355714,1, 
2355720,1, 
2355721,1, 
2355727,1, 
2355728,1, 
2355738,1, 
2355739,1, 
2355744,1, 
2355745,1, 
2355747,1, 
2355749,1, 
2355750,1, 
2355756,1, 
2355757,1, 
2355759,1, 
2355760,1, 
2355761,1, 
